(find c/textseg_sizes | xargs cat),   (find c/instruction_counts | xargs cat)
file10229,692625544
file10997,2413277240
file10237,760995566
file11014,961339352
file10239,690785834
file11013,843118180
file10232,1050512707
file10230,1089707859
file11020,709698967
file10238,970951076
file11022,722433668
file11024,679570453
file10386,14817536056
file11019,839444623
file11018,1283297075
file10235,2400997046
file11028,668233603
file10120,9715294473
file10231,2817480326
file11023,1214192863
file11033,734048536
file11030,711220684
file11025,1148823143
file11031,729795029
file11032,701794209
file11038,753682633
file11026,1459473822
file11036,792269853
file10748,19592984472
file11021,2023007274
file11029,1572112993
file11037,747661145
file11039,877100367
file11035,813847254
file11016,3405419314
file11034,1254441761
file10050,11845707776
file10174,9273696692
file11040,4174171197
file10180,11850356027
file11027,6555583465
file12006,675010593
file12001,699083406
file12008,686037987
file12014,804935808
file12002,708421922
file12004,845934902
file12007,795414519
file12005,798888719
file12015,878757357
file12010,759902827
file10240,10698419003
file12016,719059580
file12009,858510573
file12017,810759924
file12013,846473634
file10276,24042864073
file12018,725037555
file12020,796701950
file12012,1258653619
file12021,844890545
file12022,691685984
file12024,692589751
file12026,676509108
file12025,827656475
file12023,850389670
file12011,1635424631
file12003,1574697787
file12030,780861928
file12027,1152978926
file12019,1617220683
file12033,695822865
file12029,987111652
file12031,904032162
file12032,989571308
file12035,698914385
file12034,708378285
file12036,1016270708
file12040,758862057
file12039,673700014
file12043,781100842
file12037,813416452
file12038,827030320
file12047,846590328
file12028,2350288406
file12041,896360029
file12042,926122791
file12050,676579255
file12048,704207487
file12049,979274060
file12051,700454588
file12055,664997305
file12054,737850544
file12052,763883682
file12044,842567022
file12057,725892879
file12060,672458744
file12056,751890775
file12059,716838945
file12063,753763086
file12053,896200031
file12069,692784466
file12068,741727398
file12071,765305134
file12064,670899229
file12065,728399944
file12061,856138915
file12067,701302600
file12070,779240272
file12058,1685480011
file12045,2167253949
file12066,1376270739
file12046,2823103713
file12073,1057304310
file12062,3149153675
file12075,776125189
file12080,714443471
file12079,909405898
file12076,864364844
file12074,1848719440
file12078,724721839
file12077,1343144070
file12072,2641834782
file13363,700091214
file13524,680148597
file13381,679086000
file13523,699997252
file13528,719010303
file13364,743706507
file13522,740733663
file13529,746966769
file13368,717863819
file13530,739926560
file13411,768745387
file13532,789186493
file13374,771309503
file13521,830927334
file13367,794242401
file13362,803916056
file13526,818115514
file13370,793147620
file13531,890207634
file13366,792121516
file13373,855977278
file13377,680927263
file13534,803832248
file13535,680149290
file13536,781513022
file13380,840832106
file13382,709665719
file13537,695006336
file13540,817930719
file13538,717915463
file13383,848060300
file13544,725068258
file13361,1327682046
file13527,1148871125
file13547,690777907
file13371,1339503039
file13546,765832006
file10721,50274421858
file13375,967263919
file13548,720690910
file13386,729546356
file13551,932927904
file13553,799902441
file13387,825134515
file13388,804075152
file13378,1240004017
file13389,729629322
file13533,1349190722
file13384,1199041604
file13391,939993158
file13545,1064554396
file13539,1437571797
file13554,793449652
file13393,699197784
file13555,680846145
file13392,699624749
file13395,682108328
file13556,689436353
file13396,870521767
file13932,710443965
file13921,747340292
file13557,699083127
file13927,693503538
file13549,1390674828
file13397,760940140
file13525,1424825670
file13560,943887738
file13559,1213524513
file13399,706953450
file13400,855188318
file13558,813674987
file13562,828489063
file13401,716323227
file13563,1456437184
file13398,1129192940
file13566,708794396
file13564,715271061
file13402,742607290
file13567,763003859
file13541,1984796948
file13924,819545622
file13403,740892181
file13404,767897006
file13379,1372568992
file13569,783874427
file13408,871568808
file13409,855845916
file13385,1896404908
file13407,1533177142
file13405,825470142
file13572,771798502
file13416,692507363
file13413,750271478
file13571,1716246465
file13417,698797631
file13410,746730292
file13420,1236776125
file13568,791538084
file13406,1557417718
file13418,825727322
file13415,1286872884
file13412,1014664239
file13421,1028695423
file13581,846183641
file13580,672703396
file13570,725758092
file13423,748789591
file13422,802618391
file13573,870287496
file13425,686739658
file13576,751195792
file13579,1025401656
file13424,816382346
file13552,1926802791
file13582,875394535
file13583,793718123
file13584,729263369
file13577,1519266159
file13565,1573021874
file13575,1758749082
file13390,1618889860
file13937,730832739
file13922,1039698128
file13938,700290723
file13933,673088064
file13940,690044905
file13934,727635134
file13926,925945452
file13936,748568497
file13923,1015994270
file13942,672307928
file13935,753261067
file13948,673194085
file13944,731414382
file13949,780713866
file13943,866217656
file13419,2652429050
file13952,747553455
file10968,39161988151
file13946,801963471
file13853,684111786
file13365,3050189810
file13951,763584171
file13931,1139609828
file13941,1013815299
file13945,1009505146
file13866,678142953
file13429,717419764
file13376,4147461924
file13428,757252766
file13588,655170471
file13550,2913552421
file13950,997284304
file13847,790318902
file13430,671527696
file13860,739130729
file13953,801155340
file13596,690204273
file13439,678051538
file13955,800385899
file13928,1621018397
file13427,729467217
file13843,1137982999
file13856,801318871
file13585,825631523
file13956,732200975
file13930,1797462051
file13957,672507910
file13850,750144615
file13961,673342501
file13959,750566064
file13592,1213723187
file13599,758897859
file13963,780099274
file13431,785911248
file13440,687117887
file13434,896734021
file13590,662900466
file13591,669674378
file13587,674720614
file13862,732743845
file13962,912525053
file13594,842959914
file13965,811218400
file13589,826041289
file13851,835736949
file13859,755228820
file13598,765715284
file13960,1037728954
file13600,798654977
file13597,685403540
file13436,1171671356
file13970,733883598
file13578,4317221648
file13865,779033327
file13414,3665951251
file13435,1166056848
file13437,829455653
file13929,1957587777
file13939,1827147529
file13433,1166461206
file13593,1020947872
file13964,792304210
file13958,1492757436
file13842,1140749821
file13438,903161564
file13854,930559406
file13848,814480024
file13967,657714572
file13947,2114850429
file13954,1703415727
file13858,799002158
file13586,1438841111
file13966,893619516
file13968,815291886
file13969,735102714
file13863,893849520
file13971,846798770
file13432,1561029269
file13864,914273129
file13867,718509991
file13849,1106068650
file13868,785192144
file13852,1371850654
file13846,1287165699
file13561,5117851197
file13872,709928238
file13871,732581113
file13873,692706982
file13878,862532831
file13879,743914004
file13877,731002288
file13881,685490212
file13874,808474972
file13883,787491917
file13876,788358864
file13870,732709795
file13884,744019902
file13880,1237800700
file13841,1552182485
file13975,772285598
file13976,664485408
file13973,815355195
file13885,883756867
file13845,1158702154
file13886,723703559
file13875,1048524544
file13887,794901249
file13890,689047916
file13891,1125106259
file13893,710040657
file13892,726976231
file13974,771145729
file13895,780500072
file13894,676001896
file13896,691920923
file13897,866289473
file13902,688033398
file13900,745409061
file13482,647542122
file13972,1419028803
file13899,810577726
file13901,731776551
file13492,688553071
file13443,804305259
file13855,2667665889
file13978,800401304
file13861,1683915396
file13898,1242966696
file13904,940133619
file13977,690702798
file13451,735453337
file13450,798909601
file13442,691899172
file13452,737732484
file13903,1967090562
file13454,726830106
file13456,685900900
file13471,740873485
file13460,767174486
file13462,814143282
file13981,673702666
file13464,773688218
file13444,850327667
file13447,750858322
file13984,692487430
file13459,828020355
file13983,709723676
file13446,821176447
file13465,754290188
file13574,7680269729
file13982,785094765
file13469,835563679
file13467,787200049
file13980,888375569
file13985,824809222
file13987,770383042
file13993,679568122
file13463,787158203
file13473,743431394
file13470,856389572
file13478,671310277
file13906,738037376
file13475,717870531
file13479,847199910
file13448,1281317994
file13483,789843233
file13481,726511424
file13480,812454376
file13485,688206723
file13484,746995851
file13486,783925573
file13487,872642987
file13458,974352002
file13888,3640013541
file13990,689202548
file13489,739999205
file13889,2435514893
file13991,733475118
file13995,765259308
file13466,1066195057
file14000,840458015
file13997,817767527
file13988,1024481835
file13905,679674098
file13490,737934312
file13491,947736670
file13493,678055337
file13476,1352990449
file13996,1166360996
file13494,1887399816
file13488,1164239792
file13496,725032686
file13500,729547373
file13499,1300486254
file13495,713420139
file13455,1075835423
file13501,818635769
file13542,9153627989
file13502,696284491
file13497,805465151
file13498,1108825632
file13503,770619652
file13999,739795038
file13844,3141529074
file13998,1134666711
file13994,1609226359
file13911,691187465
file13453,1163733593
file13474,1504800494
file13920,679612456
file13908,669507972
file13445,1727242160
file13468,1410659260
file13857,3268025232
file13912,685231847
file13910,1527617939
file13369,10650627143
file13916,777526280
file13919,677101456
file13917,715581646
file13915,709291374
file13918,672896775
file13986,3544449763
file13925,7748690612
file13472,1472816433
file13907,1516076708
file13909,1857647516
file13394,14922947515
file13989,3514136923
file13914,2599893391
file13979,4923312581
file14489,695251844
file13506,857031370
file13505,770184243
file14485,664505398
file14494,675305921
file13441,2257221332
file13508,922533251
file14483,886208301
file13511,719521070
file13509,889794039
file13510,898958637
file13517,695359824
file14503,679643175
file13512,772670445
file13519,770804872
file14497,629757602
file13516,887997966
file13518,723533727
file13507,1520129696
file13520,1059896322
file13515,702760877
file14482,764520632
file13514,1284960661
file13513,1150798379
file14518,726632154
file13449,3974337333
file14490,808217181
file13504,3860044023
file15203,753837200
file15290,748114568
file15201,704460001
file15291,707358547
file15207,720253783
file15205,712135433
file15292,783553245
file14484,830890993
file15289,651495640
file15208,801141410
file15209,682160241
file14499,812681757
file14502,830698007
file15286,757603126
file15284,726349656
file15210,688645236
file14495,937388411
file14481,962570603
file15215,781088466
file15283,702630357
file15298,641270114
file15287,961876521
file14492,947853668
file15206,768458408
file14500,1063721950
file14496,1065007732
file15281,1030541976
file15202,814053585
file14506,804793352
file15212,695446478
file15204,961565061
file14507,885893437
file14509,793843851
file13913,10659196453
file15214,838670174
file13595,15380580717
file15285,745809601
file14510,863307323
file15217,783345362
file14511,832987611
file15303,749282841
file13372,18850479611
file13457,9203386087
file14515,692076259
file14514,783748455
file15282,729186255
file14519,680546736
file15288,745467077
file14513,1407200407
file15293,730030313
file15301,684630291
file15221,714906023
file14520,853470616
file14521,1237657245
file15216,1635166628
file15302,743365600
file15300,706023721
file15304,658162139
file15222,864818090
file14486,1558944358
file13882,12655614871
file15220,682834442
file15226,713005571
file14501,1546456666
file14516,1087184195
file15296,1112409596
file14522,945092370
file15228,709283097
file15297,1509269227
file15299,1001683946
file14517,1071052020
file14491,1987657645
file14512,1266463284
file14524,754717105
file14526,692164608
file14527,755042981
file15312,777871537
file14525,736110878
file14528,793010498
file15306,817125363
file14529,843663718
file14498,1716523983
file15225,748432444
file14531,833945540
file14534,767450684
file14533,677878681
file13992,12153727490
file14537,737799814
file14536,770489507
file15308,978110933
file14538,668108308
file14541,703225597
file14539,821716715
file14540,927611790
file15227,849667981
file15230,706580241
file15294,1631234036
file15233,726287574
file15309,794184633
file15224,1292309922
file15311,982220708
file15232,880629320
file15315,701043163
file14523,2058425907
file15213,2108486840
file15234,772105125
file13461,11201425299
file14532,1162428447
file15235,836364773
file15316,724564699
file14530,1301232078
file15218,1809823264
file15236,812279752
file15219,1872961696
file15229,1228838967
file15305,1024260573
file15238,715172244
file15320,817808208
file15240,676738792
file15310,1817254345
file15243,777318198
file15317,1023108452
file15319,719299512
file15211,2174192966
file15313,1271937899
file14535,2349811986
file15314,1199671977
file14504,3497727183
file14487,3308798945
file15245,1025698269
file15246,770861347
file15325,859849893
file15322,728938018
file15323,716786555
file15223,1974221990
file15321,991917044
file15248,693483596
file15332,765117627
file15250,952114775
file14545,736627522
file15326,788231203
file15231,1679021437
file14544,707270217
file15327,785219720
file15329,698375254
file15249,801930366
file15307,1852988449
file14549,775300506
file15330,679667398
file15251,861881031
file15237,2082046024
file15241,2073537308
file13477,13223736511
file15331,799591851
file15252,790433646
file15333,725703984
file14548,854871514
file15253,978223785
file15334,774881567
file14551,792446136
file15247,1240995209
file14488,4029713852
file15336,951386120
file14556,678260440
file15259,722470604
file15338,772249064
file14554,815492955
file15328,866506293
file14555,779090654
file15242,1849407185
file14543,1336843356
file14542,2390433171
file15258,693197104
file14553,805152047
file14550,1278327568
file14560,971477609
file14552,894211502
file14559,985195912
file14557,751207883
file15346,671805910
file15340,681425825
file15335,875093473
file15255,693216104
file14505,5277294823
file15341,698503265
file14508,5106042070
file15344,637693353
file15256,856956152
file15260,877050272
file15343,788739981
file15345,781761245
file15261,763023749
file15295,3540000566
file15337,1037314106
file15262,798193192
file15257,1211298476
file15350,669762471
file15349,674566665
file15263,819283080
file15254,1265347428
file15351,779712794
file14546,3558067323
file14547,3928469852
file15270,814228809
file14558,3041993075
file15342,1088609557
file15272,826262452
file15352,734425241
file15348,1180937063
file15355,696657165
file15356,903675977
file15267,686473907
file15354,803700210
file15264,1255896380
file15358,717809391
file15347,1411209417
file15359,693213935
file15269,1141862400
file15278,728220612
file15276,836456348
file15266,1525002059
file15274,800515886
file15271,1057200160
file15360,697205161
file15324,3973378419
file15277,783037188
file15357,1322014105
file15353,1299013455
file15265,1728532741
file15280,818050037
file15268,1811112387
file15279,870755718
file15239,6303824512
file15275,2891154087
file15273,3478560927
file16006,663158615
file16020,653763764
file16007,702807111
file16011,712721731
file16012,809475646
file16013,664922156
file16010,1161013933
file16019,771317107
file16009,717259646
file16018,674598621
file16014,887353450
file16001,809177764
file16005,708713902
file16015,745398674
file14493,16000307919
file16021,681498458
file16016,872121382
file16022,679421781
file16024,686315756
file16003,1246840988
file16025,777145878
file16029,702811751
file16031,719807031
file16565,709394330
file16569,779019059
file16026,845387246
file16028,688548367
file16561,773842668
file16002,1309096939
file16564,754818352
file16035,691323712
file16033,736365600
file16571,839297140
file16027,782849079
file16579,687451096
file16575,769575496
file16038,724820735
file16563,814832006
file16037,743433221
file16030,796481945
file16566,839534050
file16040,696329471
file16041,869825246
file16570,789292014
file16567,1170330123
file16036,895123789
file16004,1848753774
file16045,698220984
file16568,853200578
file16572,809581639
file16581,689878399
file16580,677647224
file16584,808364614
file16562,1155213686
file16573,941897795
file16585,692100534
file16578,1011571080
file16588,682826586
file16587,698896247
file16589,682774058
file16586,704583079
file16008,2133097652
file16591,755613406
file16596,688580328
file15244,15226669076
file13543,52387542254
file16583,1007756124
file16592,816336000
file16047,1192221348
file16582,1056862286
file16597,748741974
file16576,1686087297
file16593,710799047
file16044,749905905
file16602,719294026
file16601,689331813
file16598,1089772399
file16574,2553235124
file16600,715296371
file16034,1280695710
file16577,1529544048
file16590,1648692115
file16043,859368983
file16042,1344650419
file16046,726909495
file16054,741840393
file16595,1181478896
file15318,17865746924
file16599,761119174
file16049,741274767
file16050,670879193
file16053,681896975
file16017,3033237153
file16606,696097518
file16060,759083269
file16057,892754442
file16603,847163525
file16052,847380261
file16055,899941287
file16058,754168584
file16062,718820292
file16065,718456122
file16059,820444801
file16605,959054373
file16063,829653439
file16056,763129737
file16032,2725396944
file16615,672412638
file16051,1552123929
file16064,885616081
file16068,722125188
file16069,753934977
file16604,1223003071
file16072,730558835
file16610,818211009
file16608,874128803
file16067,1046614744
file16070,1010263432
file16613,685177660
file16071,742919642
file16076,766024664
file16061,1515347257
file16074,899494879
file16618,700562192
file16080,793701194
file16077,670125066
file16078,690948813
file16616,784321091
file16039,3494544002
file16614,841422206
file16066,2826301828
file16617,879240876
file16619,754917103
file16620,851088508
file16622,779838986
file16079,902135661
file16073,1620823171
file16626,678018467
file16623,671499940
file16607,1475402130
file16629,841239437
file16630,852025306
file16609,2179359994
file16632,746512690
file16612,1409381522
file16624,1015156498
file16634,753674463
file16627,1029202689
file16625,1685936343
file16638,748856814
file16635,834689893
file16631,1382933193
file16640,740331065
file16637,1136170391
file16611,2005657715
file16633,1243035445
file16594,4054071502
file16639,1214465035
file16628,2512122551
file17446,700699867
file17443,841472611
file17445,874675733
file17447,688515083
file17442,775656467
file17441,865414506
file17449,729370512
file17453,779581209
file17450,770267388
file16636,4181582062
file17451,1100346845
file17460,747318039
file17459,808607073
file17457,739205547
file17455,791355287
file17452,924722112
file17462,714884643
file17444,1329431019
file17461,736473929
file17465,794814443
file18085,684480573
file17470,695133790
file17463,770290211
file17456,1392920148
file17478,756659542
file17466,812061927
file17477,844649043
file18082,991018182
file18096,680488931
file18088,775742144
file17472,954020603
file17471,846352188
file17474,698827368
file17475,775699634
file18081,829139776
file17476,697941149
file18092,715073655
file17467,1482087581
file17473,936619103
file18101,746345596
file18005,688257660
file18083,951046493
file18087,945093954
file17479,707580234
file17480,691609768
file18089,860379985
file17448,2330660911
file18095,702195944
file18007,728573129
file18098,778951987
file18003,878349574
file18084,1445476786
file17481,804691639
file18010,683589794
file18102,755198401
file18008,806582554
file18093,1139377032
file17483,1236112511
file17469,1844106412
file18105,697859134
file18012,896644310
file18114,700184746
file16023,17109111040
file17486,708477313
file18004,855833560
file18108,748020956
file18011,910494879
file17484,811037746
file18002,1004353371
file17488,671467953
file18013,769730735
file18104,929668931
file17487,704988356
file18107,779786698
file17489,784962878
file18018,855494216
file18100,1183884845
file18109,694411934
file17490,693843817
file18006,1171056406
file18111,723966393
file18014,1236789899
file18113,671749876
file18110,737918644
file18118,666061289
file18016,850246446
file18015,949010562
file18117,913422209
file17482,1336158399
file18019,853958299
file18022,664295118
file18097,1621698351
file18021,916410788
file18017,949189478
file18023,756812428
file17485,946810181
file18020,923227295
file17494,669332907
file18024,941988562
file18112,1162410749
file17491,695212525
file18099,1620893961
file18116,1065354664
file18025,791947677
file18029,714880144
file17497,762593453
file18001,1776263230
file18030,710470675
file18123,669081379
file18032,673520233
file17499,693997636
file18028,813533964
file18106,1396034955
file18103,1451257490
file18009,1492572863
file18027,778439008
file17500,730004927
file17496,724112202
file18119,818537940
file18035,733717015
file18034,813175748
file18037,749181905
file18026,994463550
file18033,749920515
file18122,709160147
file17495,748557793
file18121,723566600
file17498,986272503
file18039,787523188
file18124,814638645
file17493,829174764
file18125,756345848
file18040,765224756
file18043,972457688
file18038,1026058590
file18129,673368609
file18128,715350366
file17492,1321729801
file18031,1727151966
file17506,772406646
file18041,905927583
file18042,858794756
file17502,986693666
file17504,645715326
file18127,895685183
file18036,1825684279
file18130,664940171
file18086,3397503839
file17505,901271428
file18046,902986316
file18090,3329041908
file17509,827833621
file17507,768552620
file18047,1148843997
file18044,906646297
file18048,839747362
file18126,1424754001
file17508,1308407556
file18049,747038796
file18120,1709671063
file17503,1233558069
file18131,750116534
file17511,1274466292
file17501,1569247334
file18056,740515236
file17454,5443103938
file17517,718636823
file18094,3596311341
file18133,823386110
file17516,707446795
file18050,746700775
file18132,1084873265
file17510,1120386826
file17512,1286565043
file18051,689207593
file17464,8297755353
file18138,966913383
file18134,883358595
file17515,945448290
file17520,750801693
file17518,832709947
file18053,697938299
file17513,1774601580
file18141,729282041
file18052,739383806
file18061,724868644
file18054,901839542
file17514,2007122643
file18057,785534363
file17519,1589164910
file18058,878281601
file18115,3839367704
file18144,1064614536
file18135,905101101
file15339,43085272340
file18140,717870643
file18064,852766911
file18139,814649046
file18059,967300564
file18145,739808847
file18063,837267951
file18149,867980387
file18151,793131853
file18143,877055172
file18137,1218908760
file18060,1026249512
file18150,791705896
file18146,792812343
file17458,9026899295
file18136,1632290128
file18055,1244133107
file18148,970429439
file18067,1241423145
file18069,752814038
file18157,857395515
file18155,709248513
file18153,698901748
file18071,679388033
file18045,3373917329
file18154,695075797
file18156,722468239
file18078,705437490
file18068,702041354
file18070,816434392
file18158,737259725
file18066,1109381549
file18152,1525674038
file18076,1211727191
file18079,710155384
file18072,915633995
file18147,1868986808
file18075,916595779
file18160,1082606784
file18080,711003587
file18077,844391177
file18073,908726489
file18159,1335482580
file18074,1673816482
file18142,2860828860
file16075,27412468882
file18065,3838957556
file17468,12349241808
file18062,12210863553
file18091,28354954646
file16621,46680191365
file20567,720241571
file20164,668786100
file20089,667353219
file20167,723135365
file20125,690709197
file20162,771109394
file20565,710567184
file20097,690689915
file20081,827936502
file20578,666957314
file20170,702561409
file20088,899347444
file20175,708389065
file20561,719718884
file20093,782062529
file20179,692819823
file20562,1138870034
file20564,829554790
file20091,776144821
file20185,744470522
file20083,843055990
file20163,860773489
file20569,865185771
file20566,843497759
file20570,733186295
file20568,803859137
file20095,845440976
file20096,821159349
file20173,845089104
file20180,739349349
file20099,746520806
file20100,792439911
file20101,727546649
file20573,779448726
file20574,905288361
file20572,1333083352
file20575,1037351741
file20577,879303994
file20571,843732650
file20174,838774940
file20168,927466478
file20102,989610403
file20182,842972693
file20581,746233537
file20090,859888456
file20166,950465515
file20176,834083558
file20580,929930351
file20582,695563891
file20092,964738875
file20087,928243893
file20187,708544250
file20583,714297446
file20183,806444290
file20098,978126119
file20104,823198448
file20584,897278495
file20085,1287261043
file20169,1048417387
file20107,824174121
file20172,1089831769
file20106,756674675
file20105,1274520172
file20189,672395871
file20188,736288362
file20086,1559883787
file20109,864002280
file20082,1506035274
file20190,1289913334
file20094,1160182432
file20585,769361119
file20161,1409033594
file20586,801877074
file20576,998457577
file20181,1308935943
file20113,889400267
file20186,1301877043
file20112,693349050
file20192,691784925
file20111,1060307366
file20103,1129563768
file20194,819229239
file20114,1024031971
file20195,769099216
file20115,849352148
file20590,827370347
file20117,1233370442
file20118,782899150
file20196,717975823
file20120,691453471
file20108,1372698193
file20121,690126389
file20589,904638877
file20122,816204377
file20563,1469579837
file20127,1534155338
file20197,696977799
file20126,827980431
file20124,699578328
file20128,678770430
file20130,1046516942
file20131,785564138
file20123,1178677976
file20133,666523139
file20129,1068255728
file20198,810268020
file20137,697759946
file20134,1068493629
file20132,761970073
file20199,747076685
file20592,752153815
file20135,680818813
file20141,1048345113
file20138,703938318
file20136,754199395
file20140,720601999
file20142,1303729595
file20143,678171070
file20193,1268794956
file20595,709553491
file20597,749170528
file20144,911078287
file20600,752320487
file20594,892432771
file20139,2050077095
file20200,828567844
file20116,1672395794
file20177,2117869807
file20591,967395239
file20598,780357682
file20201,781772039
file20204,821982613
file20602,1048132916
file20601,721623061
file20205,933429613
file13869,150753443534
file20207,894940528
file20596,856507727
file20208,797295569
file20209,823342835
file20178,1868778027
file20210,996344393
file20211,757688520
file20212,941235836
file20217,1229190541
file20215,825849025
file20219,935512308
file20214,782236070
file20213,787558002
file20221,1547704292
file20222,951346035
file20224,748266264
file20216,803354748
file20110,3281584702
file20191,1870880952
file20587,1196197578
file20603,1104231938
file20206,1781092138
file20218,2251831958
file20184,2063779635
file20588,1306466569
file20599,850137772
file20152,728083123
file20202,2639049812
file20604,982890422
file20605,944240739
file20171,2501335343
file20150,834179224
file20149,716545187
file20151,752273902
file20146,748242335
file20147,846399487
file20608,774132075
file20153,690593203
file20158,943485753
file20159,895192337
file20154,724152234
file20607,802793357
file20148,1027194810
file20234,1140598074
file20119,3993113093
file20157,681384766
file20160,1609824636
file20223,3323429606
file20231,683454500
file20237,1054887576
file20229,734927297
file20232,763566616
file20084,5250913330
file20228,791427237
file20235,691318241
file20145,2279880417
file20236,1087454965
file20226,1062033929
file20609,1005380508
file20239,782617650
file20238,676226676
file20230,918850428
file20614,823005974
file20611,750823491
file20233,953816616
file20225,821985776
file20220,3343359382
file20240,807137963
file20227,1446426891
file20612,805170577
file20622,662386430
file20615,961101932
file20619,843935890
file20617,1158334997
file20610,1290540798
file20620,849906797
file20621,683830073
file20618,1137980325
file20616,865196946
file20155,3918920100
file20165,7180806109
file20613,1777607037
file13426,109741402072
file20624,730053924
file20628,693726076
file20630,666567110
file20627,869492161
file20626,853715694
file20633,765443393
file20636,899015617
file20623,2744790564
file20632,905926003
file20635,1163346945
file20637,1054222313
file20639,1287074584
file20638,1587223733
file20579,5518952091
file20640,712144978
file20625,2146663336
file20634,2007731507
file21685,881027883
file21682,786035768
file21690,725513713
file21688,720618064
file20631,3793494720
file21441,717332335
file21681,777096132
file21692,785088968
file21684,779736552
file21449,726184567
file21691,759342781
file21683,1104440137
file21448,681020754
file21693,741665536
file21451,672474406
file21686,925879913
file21697,941248712
file21694,848722735
file21454,712496780
file21700,725169762
file21706,773310523
file21698,899158117
file21687,1413967688
file21696,753740999
file21699,1041910636
file21702,874759405
file21707,933434585
file21447,707006882
file21453,863252336
file21708,854468013
file21709,697505976
file21710,768108933
file21445,887234665
file21704,1003977756
file21695,1457765073
file21714,798618023
file21455,772484712
file21713,735552848
file20593,12206080652
file21526,747530659
file21721,798342312
file21705,1410209570
file21715,998272582
file21459,691559175
file21463,751157236
file21578,637039250
file21717,686775549
file21456,835459164
file21723,695150911
file21727,769532038
file21458,743386080
file21527,759529359
file21718,883512611
file21523,747552750
file21538,904774129
file21464,758302349
file21443,1494136264
file21529,698490406
file21466,675349852
file21467,787377804
file21534,798967532
file20606,12004312290
file21528,800719509
file21532,762727700
file21539,699411050
file20156,18457057005
file21444,1623420581
file21468,777087938
file21540,704424674
file21541,808992923
file21720,1334821841
file21469,876991433
file21525,890160586
file21450,1008611095
file21475,742363788
file21722,924684430
file21470,882360860
file21446,1476203545
file21536,894303883
file21535,847412505
file21542,1346052783
file21537,945011410
file21543,691971632
file21725,955657621
file21544,670524639
file21476,746142709
file21477,693125247
file21524,962870763
file21546,817422488
file21533,1314131694
file21530,1150249060
file21545,725085541
file21522,1066762649
file21478,794374803
file21471,980879473
file21547,739750787
file21550,681029141
file21551,724362757
file21481,678058890
file21553,792461572
file21549,1382815966
file21555,674438161
file21531,1166941343
file21552,802396003
file21559,1403782111
file21560,878840335
file21561,1064368634
file21562,767680484
file21565,820243604
file21564,986483005
file21563,708802017
file21556,820978693
file21558,1311365868
file21488,723282968
file21566,716945612
file21567,1253360327
file21568,775310823
file21554,1540984799
file21571,800430636
file21572,682201556
file21569,685710553
file21457,1513129330
file21474,1176739320
file21576,691995063
file21574,902879667
file21579,715110655
file21573,766008029
file21580,777809640
file21581,853821968
file21711,1923205708
file21575,959348060
file21582,1187377511
file21577,719578356
file21548,2094987657
file21584,1680992559
file21583,922436450
file21480,1152345792
file21487,768456663
file21452,1173319463
file21712,2621098740
file21701,2162289495
file21484,992516888
file21465,1225798480
file21726,808592485
file21486,978444495
file21479,1030991915
file21716,2475983341
file21557,2355421397
file21442,2320634564
file21485,991046310
file21462,1524914617
file21490,773744666
file21491,684944136
file21492,813133445
file21731,696972666
file21493,732139943
file21724,1774106463
file21494,891024268
file21570,2927590343
file21483,1251919957
file21585,1028959400
file21460,1747113387
file21497,799793048
file21496,792142420
file21498,809207679
file21482,1483075476
file21502,814257224
file21501,767168567
file21503,825249474
file21729,1171841461
file21730,1013921062
file21499,1325188847
file21589,685157404
file21596,1081457672
file21473,2052952096
file21587,691764620
file21732,730010822
file21734,727240027
file21738,704099886
file21739,733544947
file21586,870567980
file21594,819059638
file21742,762933014
file21598,922262916
file21521,3659528743
file21590,719189697
file21736,791289659
file21588,940920013
file21599,775920206
file21600,715156165
file21593,750195573
file22329,689258773
file21591,1278091891
file21741,881995244
file22333,718044905
file21595,1145234596
file22323,781741827
file21472,3085674963
file22331,877768234
file21735,868477820
file21740,1022682783
file22326,799289125
file21744,919453067
file21728,1447362581
file21745,762782158
file22322,797995528
file22325,850017244
file21748,686164225
file22332,757389003
file21592,2586467442
file21749,718405023
file21495,2269551641
file21753,693515146
file22337,684463970
file22343,714634426
file22344,787932012
file22342,691143133
file22346,714869637
file21752,749195450
file22327,786960371
file21512,833903300
file21510,685360992
file21508,1145256147
file22324,1297995641
file21489,3154698059
file22340,793816313
file21506,949807311
file21505,711132079
file21515,673562392
file22328,1043539842
file21517,709588334
file21520,755074942
file22336,772616596
file21746,1407080536
file21518,844142795
file22341,848382108
file21737,1826423330
file21509,1099792355
file21511,945128893
file21504,2006106880
file22345,747077120
file22349,714749226
file21754,1415939641
file21757,868485673
file21513,1275766725
file22351,814544238
file21758,750198779
file21751,1391907331
file22334,1164736548
file21500,3449369531
file21514,1465739368
file21747,2281575769
file21516,1075225643
file22354,719663519
file21689,5036204901
file22353,956934223
file22357,724937061
file22352,968433594
file22355,967695708
file22358,836655764
file22339,1231759655
file22359,780720674
file21519,1773038445
file22360,804079212
file22330,1345119804
file21760,1301646544
file22364,752211414
file22365,758389573
file22347,1331107894
file22356,1304767285
file22372,756758073
file22368,720472121
file22370,709454211
file22350,1216056819
file22371,1303669987
file22369,672254544
file22348,1299106819
file22367,779290462
file21719,4674982168
file22362,1021288680
file21759,1571907010
file21743,3316099869
file22321,1898649163
